,g_[Eubacterium]_coprostanoligenes_group,g_[Eubacterium]_hallii_group,g_[Eubacterium]_ruminantium_group,g_Acidaminococcus,g_Alloprevotella,g_Bifidobacterium,g_Butyricicoccus,g_CAG-873,g_Campylobacter,g_Candidatus_Methanogranum,g_Christensenellaceae_R-7_group,g_Collinsella,g_Coprococcus_2,g_Coriobacteriaceae_UCG-003,g_Dialister,g_Elusimicrobium,g_Enterorhabdus,g_Erysipelotrichaceae_UCG-004,g_Faecalibacterium,g_Family_XIII_AD3011_group,g_Family_XIII_UCG-001,g_GCA-900066575,g_Helicobacter,g_Lachnoclostridium,g_Lachnospira,g_Lachnospiraceae_FCS020_group,g_Lachnospiraceae_ND3007_group,g_Lachnospiraceae_NK3A20_group,g_Lactobacillus,g_Libanicoccus,g_Marvinbryantia,g_Megasphaera,g_Olsenella,g_Oribacterium,g_Peptococcus,g_Prevotella_2,g_Prevotella_7,g_Prevotella_9,g_Prevotellaceae_NK3B31_group,g_Prevotellaceae_UCG-003,g_Prevotellaceae_UCG-004,g_Rikenellaceae_RC9_gut_group,g_Ruminiclostridium_6,g_Ruminiclostridium_9,g_Ruminococcaceae_NK4A214_group,g_Ruminococcaceae_UCG-002,g_Ruminococcaceae_UCG-003,g_Ruminococcaceae_UCG-005,g_Ruminococcaceae_UCG-008,g_Ruminococcaceae_UCG-009,g_Ruminococcaceae_UCG-010,g_Ruminococcaceae_UCG-011,g_Ruminococcaceae_UCG-013,g_Ruminococcaceae_UCG-014,g_Ruminococcus_1,g_Senegalimassilia,g_Slackia,g_Solobacterium,g_Streptococcus,g_Succinivibrio,g_Treponema_2
Baboon_201,0.3531688829461707,0.0,0.07256887234045784,0.09655374181128062,0.6108896575431964,0.9581688755510687,0.28548257607632427,0.06247236257785572,1.0,0.5307870176752588,0.9381876930635865,0.4396358689728902,0.46052392489429517,0.3071754163792578,0.6387294481729135,0.24375539596905432,0.42978897308786235,0.0,0.6338339572456618,0.5745777909810054,0.7755022193104323,0.34045389656019515,0.42271597376372877,0.6761555922399572,0.533396602424312,0.4429025636700697,0.44729449229768636,0.4630302616151561,0.32282927008593154,0.5824167974987405,0.3526422584907193,0.25345249120180613,0.579171128339926,0.24387524066889069,0.6350597496711843,0.5913889642629824,0.08864811179877392,0.5601955731178886,0.6724596918743209,0.22808625025111962,0.5372153882610754,0.6048143567283266,0.4629612225582241,0.45305607649208496,0.3866174540372571,0.20891481659360525,0.4421317745329296,0.7650691755998141,0.40563837030718003,0.9828177418122137,0.4514061347576807,0.666599871524145,0.4135434720004036,0.46454513905848954,0.47222650998072335,0.7254484212954895,0.5116866590111488,0.24098264514835102,0.0,0.9447286136962574,0.3432084872457922
Baboon_206,0.48341625993671833,0.023590260911275886,0.6462516326212427,0.39651795176690996,0.4341365717901726,0.2879745935997786,0.5803141220410425,0.3597280048459155,0.7969151630366734,0.6151483769944084,0.6500742787488268,0.5488578931455699,0.13827856091284732,0.7687778245275604,0.5523283603587748,0.5522343784325997,0.6400257213784368,0.0,0.7477021198701066,0.7926153884836649,0.5515694821962175,0.5018521843768202,0.3087555562238999,0.9873688877867796,0.2863999461644912,0.5231919788990614,0.540289984227873,0.058199988592417255,0.4286723461157508,0.4851916074107006,0.7322476580759671,0.2719434602709583,0.653462984064428,0.2849690058093368,0.7006204059284533,0.26913159190223407,0.33971222752879277,0.46035260720338916,0.2910594057406712,0.30849038825654806,0.39413528207051596,0.4703132383532017,1.0,0.4828968804721935,0.42901613969568386,0.9380633229637363,0.5386028232628342,0.2752518493431989,0.13988622458617597,0.5930913364338105,0.5804177698630221,0.4772113198414184,0.9087118533898478,0.10645584957761754,0.5376307088672215,0.5410638330691627,0.40902941635711715,0.1706488111164829,0.4850438626015982,0.2299853349897161,1.0
Baboon_209,0.3262559910794525,0.18849002137468293,0.3351789433047724,0.3568688607003481,0.3730043638286626,0.168490048448215,0.5477120185049996,0.16011956314442155,0.8153542610449775,0.5355038691814967,0.10127785832011912,0.7170072663407927,0.1866545839729087,0.607698812260801,0.7441537731441764,0.33433370147479485,0.72269505962039,0.2035972385550799,0.47227433041538924,0.29899059770945335,0.38628456184960686,0.331638094620283,0.6473618368202871,0.04275918638497654,0.34628294582499286,0.4860498247359247,0.5353023150936671,0.34276352055457765,0.4873863894217411,0.877156799396505,0.206700430583629,0.6857850829357126,0.6508241155389788,0.30889378924096506,0.5092572670352191,1.0,0.5721020975991503,0.43566312492285686,0.7333456851072941,0.25525331833083353,0.47678164749125757,0.5970683338389567,0.30935267611265505,0.5499998462447211,0.2147263782113866,0.687193574527347,0.381584647144722,0.46679091233807385,0.47310122910052815,0.21160847836817598,0.27536901347543735,0.19712750486458835,0.06992783905962031,0.040930096487158285,0.3837334155443878,0.601779897275167,0.7049544709443751,0.8589570798769379,0.6479361622470343,0.907328454522521,0.0
Baboon_238,0.47107592844825663,0.34243890518134046,0.6120268013220995,0.3024735751387069,0.34718662727604643,0.8897124735174345,0.5769868715796522,1.0,1.0,0.31148940523975943,0.33630994546223614,0.9016541611388721,0.0783660214494687,0.04273281585579073,0.07205632185350906,0.0,0.4268064022540776,0.0,0.0,0.9010338176529139,0.9555848697528522,0.35013776372841543,0.0,0.036770922095810135,0.7814934222530457,0.11922922781290059,0.2344467209883726,0.45666589649768746,0.9765325551010392,0.9206672218301247,1.0,0.22376630023296198,0.23383280060563125,0.05400057063744917,0.25306287364073826,0.37665854567732,0.22385398700172027,0.3672988426071893,0.18061207593228387,1.0,0.06293571119898932,0.9449686684547507,0.9592212801620683,0.6350956392210563,0.4297310791833463,0.8228208763483614,0.5141693299452873,0.14443874215532718,0.1819218157591949,0.49336089926016996,0.5252072843233847,0.8922382300391077,0.8438413320210228,0.2553694448020546,0.7601691633869905,0.6632268082491197,0.9497433267322365,0.981892277842723,1.0,0.7924093898504645,1.0
Baboon_245,0.6282601855937776,0.6846693484223109,0.19642613710940646,0.35722592362173267,0.5068698134322014,0.593837978209043,0.5896400881991076,0.26740569024334654,0.20995719497522558,0.5100536421420327,0.822080773127237,0.9178982432319793,0.2242778799264944,0.6217010148826929,0.7060499086124058,0.5593485476486982,0.6273904558443152,0.11133262223927069,0.4662155395756156,0.6714189243528562,0.4922644859519994,0.5898750939395073,0.7788662796514784,0.4306511344929308,0.5205733031224116,0.4925801880755058,0.5338803953482029,0.4274110183048693,0.6442242399775087,0.49380932669080246,0.5231912994173394,0.2176753664898847,0.4954371038307838,0.3388762371637928,0.5382581745633443,0.7379394552129397,0.2555121887489355,0.43662918989802146,0.432506042382378,0.15602489099751599,0.42302009501255633,1.0,0.6095629915949589,0.16313459907115863,0.46757760003180215,0.5498487631876089,0.44534981275499236,0.5605320066364545,0.7962551530960205,0.5108438747792882,0.6699434578943635,0.7414559837189735,0.7714175811907878,0.538123161444937,0.5390561382945781,0.42501281953040854,0.6345442226060736,0.7481428389243503,0.2906989390988579,0.6176181933776336,0.6291841073351
Baboon_249,0.39670591590992155,0.5304800018894691,0.9552046754086722,0.7249707741074619,0.6221368661428097,0.33550927082653964,0.4874072222624504,0.17955653263108484,0.5226749391367874,0.5512184378211709,1.0,0.6045194756801547,0.29435951397440685,0.5461131500145101,0.33881348693103397,0.4500827873852152,0.6221704348337943,0.8304670671015305,0.8746275452595913,0.4798161265561376,0.5800224789596186,0.4463112609470211,0.504698952028688,0.7085237144947792,0.49036861215334676,0.5172237153426275,0.14864922772213163,0.5600011374724491,0.11784167718452139,0.3854209156091465,0.7537969031405182,0.347371569455353,0.6003759497680523,0.6609776129967886,0.5584816464382582,0.5140614067957655,0.26027897091739116,0.6298218957111932,0.36018837343903676,0.1307450737507411,0.728363030140102,0.7813522409271323,0.052700180887550144,0.4847343237991721,0.37040080123113833,0.12815678837603836,0.5406205346353855,0.3985093884317442,0.0,0.5920000038648419,0.5548558044026105,0.5964562551280003,0.49443566418663265,0.17914115110335066,0.6076650299856408,0.4175523430013782,0.4942063530844695,0.6546218200347215,0.4833294267999414,0.2025953258877117,0.22532005856158716
Baboon_253,0.7926336603062041,0.5318484830954604,0.4043228750411223,0.45660454874630524,0.3157652475889765,0.0,0.4546230364010699,0.0652884556125455,1.0,0.19335161310878005,1.0,0.34676212765822817,0.1160503233188943,0.7801858634006149,0.0,0.9348609331817979,0.1505450933750198,0.6528712618526561,0.04363967913625124,0.7259222729992275,0.6918528216402776,0.5224774208347934,0.0,0.6644506296283782,0.6647218332590304,0.5310944006946147,0.06853038422164316,0.6672358599087614,0.9793935428603111,0.5573233786932484,0.34313283618561685,0.0,0.1780634111008887,0.4568376350881404,0.2582802443000472,0.0,0.15247249623944384,0.24787723689081664,0.5094333440844538,0.437403290690409,0.49366770107305297,0.5184776434577122,0.0,0.8089493540839611,0.5095834817279444,0.2195293083334016,0.41041919353379525,0.18632570672201923,0.011744996457248327,0.4844850836746749,0.5029822027074222,0.4330346200103228,0.6633734220392786,0.5417252658600338,0.5546162757035501,0.5237548414819478,0.0,0.03033739165289882,0.01892864248305178,0.36198265485689823,0.6032045311911503
Baboon_258,1.0,0.6094759774842858,0.498262222173515,0.7347489911316414,0.0400687893844895,0.35805753757705516,0.44678816949691286,0.8471672080673567,0.7757315715791737,0.4220483809752454,0.7871647720352893,0.2527622724138648,0.2873931042322319,0.07587041748258395,0.07797923620340562,0.9563589998823976,0.4641914903159434,0.6484810189376805,0.1344277023709425,0.1951663297633963,0.4701575213528338,0.4243757453051565,0.027993463948483795,0.7796084000421999,0.0,0.5432930080678601,0.3346202862798072,0.9668223891303096,0.7801006780744902,0.4141606479388394,0.040556743114107126,0.829994735644249,0.8641560308526802,0.6037617151929106,0.0,0.0,0.8381980867240505,0.12453121903851148,0.2737028541708897,0.5554499422179099,1.0,0.5558672072714846,0.339684539575357,0.6596509073365389,0.15905132349015413,0.7125518404497722,0.3959440867237483,0.45320583754442395,0.5905052277589461,0.25717959942185764,0.5707958039496777,0.5958432537345352,0.27268156010997463,0.3196865807179721,0.0,0.36080687971999287,0.4224594345345064,0.14758455588149252,0.035178040755561704,0.42094457611616204,1.0
Baboon_259,0.5472760936218914,0.6319841897314054,0.0,0.5985826557867049,0.13272970575207813,0.1466643681510859,0.6198179356769181,0.2598373506374593,0.7778598084072547,0.0903594484449972,0.7764912302317396,0.5872983308100443,0.0,0.5040832077512164,0.5993220141823211,0.6409220965501532,0.5193063369591032,0.0,0.0,0.9376043134514243,0.8911502876937204,0.41610941945351076,0.11386396250278608,0.23290092756452435,0.453992154538572,0.5800530077871119,0.046912480238328995,0.7439614881655663,0.8813101407948406,0.5026586397959932,0.4313396161432472,0.4752535709907028,0.5314271622908359,0.864327198342229,0.34730005322417945,0.11007857052602023,0.7923097439563762,0.0,0.28961830707627984,0.3151030923737203,0.49321963229651816,0.43807757223558574,0.0,0.3060347343659495,0.3403151422131308,0.6273864283862806,0.3002836764550623,0.5208521944412584,0.5197909969451052,0.8006263373621657,0.39292309092401123,0.6436286910988543,0.14219828226960957,0.21919662879185403,0.6483748263467204,1.0,0.3858478390902955,0.33865036621306066,0.9660150934407165,0.17458441963883684,0.997396849684842
Baboon_279,0.18351619151402504,0.09763479453552897,0.7508600281985239,0.34154336611686686,0.2893726965850712,0.05966547014303387,0.43559918417306953,0.3078509462822853,0.08813421831249996,0.23018164185572448,0.4634893059932356,0.4911783449256477,0.545674614549757,0.3147499579909038,0.64042444034069,0.9882063256003927,0.3648914474723823,0.7384387328708725,0.19367402308319553,0.1614138451437684,0.13628494381174264,0.4705976481617593,0.18502386063983967,0.4716651894650235,0.43257962808112554,0.38705207784793355,0.20231702924758277,0.4121163096711886,0.9751052234795812,0.3845323897539577,0.3737005982402279,0.2622101940593615,0.33286473783552956,0.5023242975978044,0.2989338118995824,0.09164256961301392,0.4418090154857478,0.39448276396023024,0.1410030724631114,0.9188019439936707,0.12800780703736464,0.1282429907768345,1.0,0.20739923234983276,0.5660742921272822,0.31210126258053894,0.4605242837718756,0.5182220921430979,0.0,0.5305808958578146,0.5632162215458559,0.6409302463957136,0.842406837769057,0.6648215149815094,0.8441672508456628,0.3250801099205552,0.4468531087495911,0.19419829098610528,0.6424652865435674,0.5591411329404433,1.0
